DATE	ASS_ASSIGNMENT	prediction
2012-12-28 00:00:00.000	Crises	0
2012-12-28 00:30:00.000	Crises	0
2012-12-28 01:00:00.000	Crises	0
2012-12-28 01:30:00.000	Crises	0
2012-12-28 02:00:00.000	Crises	0
2012-12-28 02:30:00.000	Crises	0
2012-12-28 03:00:00.000	Crises	0
2012-12-28 03:30:00.000	Crises	0
2012-12-28 04:00:00.000	Crises	0
2012-12-28 04:30:00.000	Crises	0
2012-12-28 05:00:00.000	Crises	0
2012-12-28 05:30:00.000	Crises	0
2012-12-28 06:00:00.000	Crises	0
2012-12-28 06:30:00.000	Crises	0
2012-12-28 07:00:00.000	Crises	0
2012-12-28 07:30:00.000	Crises	0
2012-12-28 23:00:00.000	Crises	0
2012-12-28 23:30:00.000	Crises	0
2012-12-29 00:00:00.000	Crises	0
2012-12-29 00:30:00.000	Crises	0
2012-12-29 01:00:00.000	Crises	0
2012-12-29 01:30:00.000	Crises	0
2012-12-29 02:00:00.000	Crises	0
2012-12-29 02:30:00.000	Crises	0
2012-12-29 03:00:00.000	Crises	0
2012-12-29 03:30:00.000	Crises	0
2012-12-29 04:00:00.000	Crises	0
2012-12-29 04:30:00.000	Crises	0
2012-12-29 05:00:00.000	Crises	0
2012-12-29 05:30:00.000	Crises	0
2012-12-29 06:00:00.000	Crises	0
2012-12-29 06:30:00.000	Crises	0
2012-12-29 07:00:00.000	Crises	0
2012-12-29 07:30:00.000	Crises	0
2012-12-30 23:00:00.000	Crises	0
2012-12-30 23:30:00.000	Crises	0
2012-12-31 00:00:00.000	Crises	0
2012-12-31 00:30:00.000	Crises	0
2012-12-31 01:00:00.000	Crises	0
2012-12-31 01:30:00.000	Crises	0
2012-12-31 02:00:00.000	Crises	0
2012-12-31 02:30:00.000	Crises	0
2012-12-31 03:00:00.000	Crises	0
2012-12-31 03:30:00.000	Crises	0
2012-12-31 04:00:00.000	Crises	0
2012-12-31 04:30:00.000	Crises	0
2012-12-31 05:00:00.000	Crises	0
2012-12-31 05:30:00.000	Crises	0
2012-12-31 06:00:00.000	Crises	0
2012-12-31 06:30:00.000	Crises	0
2012-12-31 07:00:00.000	Crises	0
2012-12-31 07:30:00.000	Crises	0
2012-12-31 22:00:00.000	Crises	0
2012-12-31 22:30:00.000	Crises	0
2012-12-31 23:00:00.000	Crises	0
2012-12-31 23:30:00.000	Crises	0
2013-01-01 00:00:00.000	Crises	0
2013-01-01 00:30:00.000	Crises	0
2013-01-01 01:00:00.000	Crises	0
2013-01-01 01:30:00.000	Crises	0
2013-01-01 02:00:00.000	Crises	0
2013-01-01 02:30:00.000	Crises	0
2013-01-01 03:00:00.000	Crises	0
2013-01-01 03:30:00.000	Crises	0
2013-01-01 04:00:00.000	Crises	0
2013-01-01 04:30:00.000	Crises	0
2013-01-01 05:00:00.000	Crises	0
2013-01-01 05:30:00.000	Crises	0
2013-01-01 06:00:00.000	Crises	0
2013-01-01 06:30:00.000	Crises	0
2013-01-01 07:00:00.000	Crises	0
2013-01-01 07:30:00.000	Crises	0
2013-01-01 08:00:00.000	Crises	0
2013-01-01 21:30:00.000	Crises	0
2013-01-01 22:00:00.000	Crises	0
2013-01-01 22:30:00.000	Crises	0
2013-01-01 23:00:00.000	Crises	0
2013-01-01 23:30:00.000	Crises	0
2013-01-02 00:00:00.000	Crises	0
2013-01-02 00:30:00.000	Crises	0
2013-01-02 01:00:00.000	Crises	0
2013-01-02 01:30:00.000	Crises	0
2013-01-02 02:00:00.000	Crises	0
2013-01-02 02:30:00.000	Crises	0
2013-01-02 03:00:00.000	Crises	0
2013-01-02 03:30:00.000	Crises	0
2013-01-02 04:00:00.000	Crises	0
2013-01-02 04:30:00.000	Crises	0
2013-01-02 05:00:00.000	Crises	0
2013-01-02 05:30:00.000	Crises	0
2013-01-02 06:00:00.000	Crises	0
2013-01-02 06:30:00.000	Crises	0
2013-01-02 07:00:00.000	Crises	0
2013-01-02 07:30:00.000	Crises	0
2013-01-02 21:30:00.000	Crises	0
2013-01-02 22:00:00.000	Crises	0
2013-01-02 22:30:00.000	Crises	0
2013-01-02 23:00:00.000	Crises	0
2013-01-02 23:30:00.000	Crises	0
2013-01-03 00:00:00.000	Crises	0
2013-01-03 00:30:00.000	Crises	0
2013-01-03 01:00:00.000	Crises	0
2013-01-03 01:30:00.000	Crises	0
2013-01-03 02:00:00.000	Crises	0
2013-01-03 02:30:00.000	Crises	0
2013-01-03 03:00:00.000	Crises	0
2013-01-03 03:30:00.000	Crises	0
2013-01-03 04:00:00.000	Crises	0
2013-01-03 04:30:00.000	Crises	0
2013-01-03 05:00:00.000	Crises	0
2013-01-03 05:30:00.000	Crises	0
2013-01-03 06:00:00.000	Crises	0
2013-01-03 06:30:00.000	Crises	0
2013-01-03 07:00:00.000	Crises	0
2013-01-03 07:30:00.000	Crises	0
2013-01-03 23:00:00.000	Crises	0
2013-01-03 23:30:00.000	Crises	0
2013-03-07 14:30:00.000	Crises	0
2013-03-07 15:00:00.000	Crises	0
2013-03-07 15:30:00.000	Crises	0
