DATE	ASS_ASSIGNMENT	prediction
2012-12-28 09:30:00.000	Prestataires	0
2012-12-28 10:00:00.000	Prestataires	0
2012-12-28 10:30:00.000	Prestataires	0
2012-12-28 11:00:00.000	Prestataires	0
2012-12-28 11:30:00.000	Prestataires	0
2012-12-28 12:00:00.000	Prestataires	0
2012-12-28 12:30:00.000	Prestataires	0
2012-12-28 13:00:00.000	Prestataires	0
2012-12-28 13:30:00.000	Prestataires	0
2012-12-28 14:00:00.000	Prestataires	0
2012-12-28 14:30:00.000	Prestataires	0
2012-12-28 15:00:00.000	Prestataires	0
2012-12-31 08:00:00.000	Prestataires	0
2012-12-31 08:30:00.000	Prestataires	0
2012-12-31 09:00:00.000	Prestataires	0
2012-12-31 09:30:00.000	Prestataires	0
2012-12-31 10:00:00.000	Prestataires	0
2012-12-31 10:30:00.000	Prestataires	0
2012-12-31 11:00:00.000	Prestataires	0
2012-12-31 11:30:00.000	Prestataires	0
2012-12-31 12:00:00.000	Prestataires	0
2012-12-31 12:30:00.000	Prestataires	0
2012-12-31 13:00:00.000	Prestataires	0
2012-12-31 13:30:00.000	Prestataires	0
2012-12-31 14:00:00.000	Prestataires	0
2012-12-31 14:30:00.000	Prestataires	0
2012-12-31 15:00:00.000	Prestataires	0
2012-12-31 15:30:00.000	Prestataires	0
2013-01-02 08:00:00.000	Prestataires	0
2013-01-02 08:30:00.000	Prestataires	0
2013-01-02 09:00:00.000	Prestataires	0
2013-01-02 09:30:00.000	Prestataires	0
2013-01-02 10:00:00.000	Prestataires	0
2013-01-02 10:30:00.000	Prestataires	0
2013-01-02 11:00:00.000	Prestataires	0
2013-01-02 11:30:00.000	Prestataires	0
2013-01-02 12:00:00.000	Prestataires	0
2013-01-02 12:30:00.000	Prestataires	0
2013-01-02 13:00:00.000	Prestataires	0
2013-01-02 13:30:00.000	Prestataires	0
2013-01-02 14:00:00.000	Prestataires	0
2013-01-02 14:30:00.000	Prestataires	0
2013-01-02 15:00:00.000	Prestataires	0
2013-01-02 15:30:00.000	Prestataires	0
2013-01-02 16:00:00.000	Prestataires	0
2013-01-03 09:00:00.000	Prestataires	0
