DATE	ASS_ASSIGNMENT	prediction
2012-12-28 09:00:00.000	RTC	0
2012-12-28 09:30:00.000	RTC	0
2012-12-28 10:00:00.000	RTC	0
2012-12-28 10:30:00.000	RTC	0
2012-12-28 11:00:00.000	RTC	0
2012-12-28 11:30:00.000	RTC	0
2012-12-28 12:00:00.000	RTC	0
2012-12-28 12:30:00.000	RTC	0
2012-12-28 13:00:00.000	RTC	0
2012-12-28 13:30:00.000	RTC	0
2012-12-28 14:00:00.000	RTC	0
2012-12-28 14:30:00.000	RTC	0
2012-12-28 15:00:00.000	RTC	0
2012-12-28 15:30:00.000	RTC	0
2012-12-28 16:00:00.000	RTC	0
2012-12-28 16:30:00.000	RTC	0
2012-12-28 17:00:00.000	RTC	0
2012-12-28 17:30:00.000	RTC	0
2012-12-28 18:00:00.000	RTC	0
2012-12-31 08:30:00.000	RTC	0
2012-12-31 09:00:00.000	RTC	0
2012-12-31 09:30:00.000	RTC	0
2012-12-31 10:00:00.000	RTC	0
2012-12-31 10:30:00.000	RTC	0
2012-12-31 11:00:00.000	RTC	0
2012-12-31 11:30:00.000	RTC	0
2012-12-31 12:00:00.000	RTC	0
2012-12-31 12:30:00.000	RTC	0
2012-12-31 13:00:00.000	RTC	0
2012-12-31 13:30:00.000	RTC	0
2012-12-31 14:00:00.000	RTC	0
2012-12-31 14:30:00.000	RTC	0
2012-12-31 15:00:00.000	RTC	0
2012-12-31 15:30:00.000	RTC	0
2013-01-02 08:30:00.000	RTC	0
2013-01-02 09:00:00.000	RTC	0
2013-01-02 09:30:00.000	RTC	0
2013-01-02 10:00:00.000	RTC	0
2013-01-02 10:30:00.000	RTC	0
2013-01-02 11:00:00.000	RTC	0
2013-01-02 11:30:00.000	RTC	0
2013-01-02 12:00:00.000	RTC	0
2013-01-02 12:30:00.000	RTC	0
2013-01-02 13:00:00.000	RTC	0
2013-01-02 13:30:00.000	RTC	0
2013-01-02 14:00:00.000	RTC	0
2013-01-02 14:30:00.000	RTC	0
2013-01-02 15:00:00.000	RTC	0
2013-01-02 15:30:00.000	RTC	0
2013-01-02 16:00:00.000	RTC	0
2013-01-02 16:30:00.000	RTC	0
2013-01-02 17:00:00.000	RTC	0
2013-01-02 17:30:00.000	RTC	0
2013-01-02 18:00:00.000	RTC	0
2013-01-03 08:30:00.000	RTC	0
2013-01-03 09:00:00.000	RTC	0
2013-01-03 09:30:00.000	RTC	0
2013-01-03 10:00:00.000	RTC	0
2013-01-03 10:30:00.000	RTC	0
2013-01-03 11:00:00.000	RTC	0
2013-01-03 11:30:00.000	RTC	0
2013-01-03 12:00:00.000	RTC	0
2013-01-03 12:30:00.000	RTC	0
2013-01-03 13:00:00.000	RTC	0
2013-01-03 13:30:00.000	RTC	0
2013-01-03 14:00:00.000	RTC	0
2013-01-03 14:30:00.000	RTC	0
2013-01-03 15:00:00.000	RTC	0
2013-01-03 15:30:00.000	RTC	0
2013-01-03 16:00:00.000	RTC	0
2013-01-03 16:30:00.000	RTC	0
2013-01-03 17:00:00.000	RTC	0
2013-01-03 17:30:00.000	RTC	0
2013-01-03 18:00:00.000	RTC	0
2013-02-04 08:30:00.000	RTC	0
2013-02-04 09:00:00.000	RTC	0
2013-02-04 09:30:00.000	RTC	0
2013-02-04 10:00:00.000	RTC	0
2013-02-04 10:30:00.000	RTC	0
2013-02-04 11:00:00.000	RTC	0
2013-02-04 11:30:00.000	RTC	0
2013-02-04 12:00:00.000	RTC	0
2013-02-04 12:30:00.000	RTC	0
2013-02-04 13:00:00.000	RTC	0
2013-02-04 13:30:00.000	RTC	0
2013-02-04 14:00:00.000	RTC	0
2013-02-04 14:30:00.000	RTC	0
2013-02-04 15:00:00.000	RTC	0
2013-02-04 15:30:00.000	RTC	0
2013-02-04 16:00:00.000	RTC	0
2013-02-04 16:30:00.000	RTC	0
2013-02-04 17:00:00.000	RTC	0
2013-02-04 17:30:00.000	RTC	0
2013-02-04 18:00:00.000	RTC	0
2013-02-05 09:00:00.000	RTC	0
2013-02-05 09:30:00.000	RTC	0
2013-02-05 10:00:00.000	RTC	0
2013-02-05 10:30:00.000	RTC	0
2013-02-05 11:00:00.000	RTC	0
2013-02-05 11:30:00.000	RTC	0
2013-02-05 12:00:00.000	RTC	0
2013-02-05 12:30:00.000	RTC	0
2013-02-05 13:00:00.000	RTC	0
2013-02-05 13:30:00.000	RTC	0
2013-02-05 14:00:00.000	RTC	0
2013-02-05 14:30:00.000	RTC	0
2013-02-05 15:00:00.000	RTC	0
2013-02-05 15:30:00.000	RTC	0
2013-02-05 16:00:00.000	RTC	0
2013-02-05 16:30:00.000	RTC	0
2013-02-05 17:00:00.000	RTC	0
2013-02-05 17:30:00.000	RTC	0
2013-02-05 18:00:00.000	RTC	0
2013-02-05 18:30:00.000	RTC	0
2013-02-05 19:00:00.000	RTC	0
2013-02-05 19:30:00.000	RTC	0
2013-02-05 20:00:00.000	RTC	0
2013-02-05 20:30:00.000	RTC	0
2013-02-05 21:00:00.000	RTC	0
2013-02-05 21:30:00.000	RTC	0
2013-02-05 22:00:00.000	RTC	0
2013-02-05 22:30:00.000	RTC	0
2013-02-05 23:00:00.000	RTC	0
2013-02-05 23:30:00.000	RTC	0
2013-02-06 00:00:00.000	RTC	0
2013-02-06 00:30:00.000	RTC	0
2013-02-06 01:00:00.000	RTC	0
2013-02-06 01:30:00.000	RTC	0
2013-02-06 02:00:00.000	RTC	0
2013-02-06 02:30:00.000	RTC	0
2013-02-06 03:00:00.000	RTC	0
2013-02-06 03:30:00.000	RTC	0
2013-02-06 04:00:00.000	RTC	0
2013-02-06 04:30:00.000	RTC	0
2013-02-06 05:00:00.000	RTC	0
2013-02-06 05:30:00.000	RTC	0
2013-02-06 06:00:00.000	RTC	0
2013-02-06 06:30:00.000	RTC	0
2013-02-06 07:00:00.000	RTC	0
2013-02-06 07:30:00.000	RTC	0
2013-02-06 08:00:00.000	RTC	0
2013-02-06 08:30:00.000	RTC	0
2013-02-06 09:00:00.000	RTC	0
2013-02-06 09:30:00.000	RTC	0
2013-02-06 10:00:00.000	RTC	0
2013-02-06 10:30:00.000	RTC	0
2013-02-06 11:00:00.000	RTC	0
2013-02-06 11:30:00.000	RTC	0
2013-02-06 12:00:00.000	RTC	0
2013-02-06 12:30:00.000	RTC	0
2013-02-06 13:00:00.000	RTC	0
2013-02-06 13:30:00.000	RTC	0
2013-02-06 14:00:00.000	RTC	0
2013-02-06 14:30:00.000	RTC	0
2013-02-06 15:00:00.000	RTC	0
2013-02-06 15:30:00.000	RTC	0
2013-02-06 16:00:00.000	RTC	0
2013-02-06 16:30:00.000	RTC	0
2013-02-06 17:00:00.000	RTC	0
2013-02-06 17:30:00.000	RTC	0
2013-02-06 18:00:00.000	RTC	0
2013-02-06 18:30:00.000	RTC	0
2013-02-06 19:00:00.000	RTC	0
2013-02-06 19:30:00.000	RTC	0
2013-02-06 20:00:00.000	RTC	0
2013-02-06 20:30:00.000	RTC	0
2013-02-06 21:00:00.000	RTC	0
2013-02-06 21:30:00.000	RTC	0
2013-02-06 22:00:00.000	RTC	0
2013-02-06 22:30:00.000	RTC	0
2013-02-06 23:00:00.000	RTC	0
2013-02-06 23:30:00.000	RTC	0
2013-02-07 00:00:00.000	RTC	0
2013-02-07 00:30:00.000	RTC	0
2013-02-07 01:00:00.000	RTC	0
2013-02-07 01:30:00.000	RTC	0
2013-02-07 02:00:00.000	RTC	0
2013-02-07 02:30:00.000	RTC	0
2013-02-07 03:00:00.000	RTC	0
2013-02-07 03:30:00.000	RTC	0
2013-02-07 04:00:00.000	RTC	0
2013-02-07 04:30:00.000	RTC	0
2013-02-07 05:00:00.000	RTC	0
2013-02-07 05:30:00.000	RTC	0
2013-02-07 06:00:00.000	RTC	0
2013-02-07 06:30:00.000	RTC	0
2013-02-07 07:00:00.000	RTC	0
2013-02-07 07:30:00.000	RTC	0
2013-02-07 08:00:00.000	RTC	0
2013-02-07 08:30:00.000	RTC	0
2013-02-07 09:00:00.000	RTC	0
2013-02-07 09:30:00.000	RTC	0
2013-02-07 10:00:00.000	RTC	0
2013-02-07 10:30:00.000	RTC	0
2013-02-07 11:00:00.000	RTC	0
2013-02-07 11:30:00.000	RTC	0
2013-02-07 12:00:00.000	RTC	0
2013-02-07 12:30:00.000	RTC	0
2013-02-07 13:00:00.000	RTC	0
2013-02-07 13:30:00.000	RTC	0
2013-02-07 14:00:00.000	RTC	0
2013-02-07 14:30:00.000	RTC	0
2013-02-07 15:00:00.000	RTC	0
2013-02-07 15:30:00.000	RTC	0
2013-02-07 16:00:00.000	RTC	0
2013-02-07 16:30:00.000	RTC	0
2013-02-07 17:00:00.000	RTC	0
2013-02-07 17:30:00.000	RTC	0
2013-02-07 18:00:00.000	RTC	0
2013-02-08 08:30:00.000	RTC	0
2013-02-08 09:00:00.000	RTC	0
2013-02-08 09:30:00.000	RTC	0
2013-02-08 10:00:00.000	RTC	0
2013-02-08 10:30:00.000	RTC	0
2013-02-08 11:00:00.000	RTC	0
2013-02-08 11:30:00.000	RTC	0
2013-02-08 12:00:00.000	RTC	0
2013-02-08 12:30:00.000	RTC	0
2013-02-08 13:00:00.000	RTC	0
2013-02-08 13:30:00.000	RTC	0
2013-02-08 14:00:00.000	RTC	0
2013-02-08 14:30:00.000	RTC	0
2013-02-08 15:00:00.000	RTC	0
2013-02-08 15:30:00.000	RTC	0
2013-02-08 16:00:00.000	RTC	0
2013-02-08 16:30:00.000	RTC	0
2013-02-08 17:00:00.000	RTC	0
2013-02-08 17:30:00.000	RTC	0
2013-02-08 18:00:00.000	RTC	0
2013-03-06 00:00:00.000	RTC	0
2013-03-06 00:30:00.000	RTC	0
2013-03-06 01:00:00.000	RTC	0
2013-03-06 01:30:00.000	RTC	0
2013-03-06 02:00:00.000	RTC	0
2013-03-06 02:30:00.000	RTC	0
2013-03-06 03:00:00.000	RTC	0
2013-03-06 03:30:00.000	RTC	0
2013-03-06 04:00:00.000	RTC	0
2013-03-06 04:30:00.000	RTC	0
2013-03-06 05:00:00.000	RTC	0
2013-03-06 05:30:00.000	RTC	0
2013-03-06 06:00:00.000	RTC	0
2013-03-06 06:30:00.000	RTC	0
2013-03-06 07:00:00.000	RTC	0
2013-03-06 07:30:00.000	RTC	0
2013-03-06 08:00:00.000	RTC	0
2013-03-06 08:30:00.000	RTC	0
2013-03-06 09:00:00.000	RTC	0
2013-03-06 09:30:00.000	RTC	0
2013-03-06 10:00:00.000	RTC	0
2013-03-06 10:30:00.000	RTC	0
2013-03-06 11:00:00.000	RTC	0
2013-03-06 11:30:00.000	RTC	0
2013-03-06 12:00:00.000	RTC	0
2013-03-06 12:30:00.000	RTC	0
2013-03-06 13:00:00.000	RTC	0
2013-03-06 13:30:00.000	RTC	0
2013-03-06 14:00:00.000	RTC	0
2013-03-06 14:30:00.000	RTC	0
2013-03-06 15:00:00.000	RTC	0
2013-03-06 15:30:00.000	RTC	0
2013-03-06 16:00:00.000	RTC	0
2013-03-06 16:30:00.000	RTC	0
2013-03-06 17:00:00.000	RTC	0
2013-03-06 17:30:00.000	RTC	0
2013-03-06 18:00:00.000	RTC	0
2013-03-06 18:30:00.000	RTC	0
2013-03-06 19:00:00.000	RTC	0
2013-03-06 19:30:00.000	RTC	0
2013-03-06 20:00:00.000	RTC	0
2013-03-06 20:30:00.000	RTC	0
2013-03-06 21:00:00.000	RTC	0
2013-03-06 21:30:00.000	RTC	0
2013-03-06 22:00:00.000	RTC	0
2013-03-06 22:30:00.000	RTC	0
2013-03-06 23:00:00.000	RTC	0
2013-03-06 23:30:00.000	RTC	0
2013-03-07 00:00:00.000	RTC	0
2013-03-07 00:30:00.000	RTC	0
2013-03-07 01:00:00.000	RTC	0
2013-03-07 01:30:00.000	RTC	0
2013-03-07 02:00:00.000	RTC	0
2013-03-07 02:30:00.000	RTC	0
2013-03-07 03:00:00.000	RTC	0
2013-03-07 03:30:00.000	RTC	0
2013-03-07 04:00:00.000	RTC	0
2013-03-07 04:30:00.000	RTC	0
2013-03-07 05:00:00.000	RTC	0
2013-03-07 05:30:00.000	RTC	0
2013-03-07 06:00:00.000	RTC	0
2013-03-07 06:30:00.000	RTC	0
2013-03-07 07:00:00.000	RTC	0
2013-03-07 07:30:00.000	RTC	0
2013-03-07 08:00:00.000	RTC	0
2013-03-07 08:30:00.000	RTC	0
2013-03-07 09:00:00.000	RTC	0
2013-03-07 09:30:00.000	RTC	0
2013-03-07 10:00:00.000	RTC	0
2013-03-07 10:30:00.000	RTC	0
2013-03-07 11:00:00.000	RTC	0
2013-03-07 11:30:00.000	RTC	0
2013-03-07 12:00:00.000	RTC	0
2013-03-07 12:30:00.000	RTC	0
2013-03-07 13:00:00.000	RTC	0
2013-03-07 13:30:00.000	RTC	0
2013-03-07 14:00:00.000	RTC	0
2013-03-07 14:30:00.000	RTC	0
2013-03-07 15:00:00.000	RTC	0
2013-03-07 15:30:00.000	RTC	0
2013-03-07 16:00:00.000	RTC	0
2013-03-07 16:30:00.000	RTC	0
2013-03-07 17:00:00.000	RTC	0
2013-03-07 17:30:00.000	RTC	0
2013-03-07 18:00:00.000	RTC	0
2013-03-08 09:00:00.000	RTC	0
2013-03-08 09:30:00.000	RTC	0
2013-03-08 10:00:00.000	RTC	0
2013-03-08 10:30:00.000	RTC	0
2013-03-08 11:00:00.000	RTC	0
2013-03-08 11:30:00.000	RTC	0
2013-03-08 12:00:00.000	RTC	0
2013-03-08 12:30:00.000	RTC	0
2013-03-08 13:00:00.000	RTC	0
2013-03-08 13:30:00.000	RTC	0
2013-03-08 14:00:00.000	RTC	0
2013-03-08 14:30:00.000	RTC	0
2013-03-08 15:00:00.000	RTC	0
2013-03-08 15:30:00.000	RTC	0
2013-03-08 16:00:00.000	RTC	0
2013-03-08 16:30:00.000	RTC	0
2013-03-08 17:00:00.000	RTC	0
2013-03-08 17:30:00.000	RTC	0
2013-03-08 18:00:00.000	RTC	0
2013-03-11 09:00:00.000	RTC	0
2013-03-11 09:30:00.000	RTC	0
2013-03-11 10:00:00.000	RTC	0
2013-03-11 10:30:00.000	RTC	0
2013-03-11 11:00:00.000	RTC	0
2013-03-11 11:30:00.000	RTC	0
2013-03-11 12:00:00.000	RTC	0
2013-03-11 12:30:00.000	RTC	0
2013-03-11 13:00:00.000	RTC	0
2013-03-11 13:30:00.000	RTC	0
2013-03-11 14:00:00.000	RTC	0
2013-03-11 14:30:00.000	RTC	0
2013-03-11 15:00:00.000	RTC	0
2013-03-11 15:30:00.000	RTC	0
2013-03-11 16:00:00.000	RTC	0
2013-03-11 16:30:00.000	RTC	0
2013-03-11 17:00:00.000	RTC	0
2013-03-11 17:30:00.000	RTC	0
2013-03-11 18:00:00.000	RTC	0
2013-03-11 18:30:00.000	RTC	0
2013-03-11 19:00:00.000	RTC	0
2013-03-11 19:30:00.000	RTC	0
2013-03-11 20:00:00.000	RTC	0
2013-03-11 20:30:00.000	RTC	0
2013-03-11 21:00:00.000	RTC	0
2013-03-11 21:30:00.000	RTC	0
2013-03-11 22:00:00.000	RTC	0
2013-03-11 22:30:00.000	RTC	0
2013-03-11 23:00:00.000	RTC	0
2013-03-11 23:30:00.000	RTC	0
2013-03-12 00:00:00.000	RTC	0
2013-03-12 00:30:00.000	RTC	0
2013-03-12 01:00:00.000	RTC	0
2013-03-12 01:30:00.000	RTC	0
2013-03-12 02:00:00.000	RTC	0
2013-03-12 02:30:00.000	RTC	0
2013-03-12 03:00:00.000	RTC	0
2013-03-12 03:30:00.000	RTC	0
2013-03-12 04:00:00.000	RTC	0
2013-03-12 04:30:00.000	RTC	0
2013-03-12 05:00:00.000	RTC	0
2013-03-12 05:30:00.000	RTC	0
2013-03-12 06:00:00.000	RTC	0
2013-03-12 06:30:00.000	RTC	0
2013-03-12 07:00:00.000	RTC	0
2013-03-12 07:30:00.000	RTC	0
2013-03-12 08:00:00.000	RTC	0
2013-03-12 08:30:00.000	RTC	0
2013-03-12 09:00:00.000	RTC	0
2013-03-12 09:30:00.000	RTC	0
2013-03-12 10:00:00.000	RTC	0
2013-03-12 10:30:00.000	RTC	0
2013-03-12 11:00:00.000	RTC	0
2013-03-12 11:30:00.000	RTC	0
2013-03-12 12:00:00.000	RTC	0
2013-03-12 12:30:00.000	RTC	0
2013-03-12 13:00:00.000	RTC	0
2013-03-12 13:30:00.000	RTC	0
2013-03-12 14:00:00.000	RTC	0
